日期,股票代码,股票名称,买入信号总分,触发信号,收盘价,K,D,J,DIF,DEA
2025-10-22,000599,青岛双星,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,5.78,59.03,57.73,61.64,0.071,0.056
2025-10-23,002109,兴化股份,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,3.93,81.52,75.08,94.42,-0.01,-0.02
2025-10-23,600076,康欣新材,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,2.91,62.7,52.31,83.48,0.014,0.011
2025-10-23,002469,三维化学,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,9.0,55.03,48.69,67.73,0.017,0.012
2025-10-23,000686,东北证券,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,8.72,49.31,41.19,65.55,0.032,0.029
2025-10-22,300370,安控科技,5,MACD金叉，MACD柱体由绿转红,3.13,57.24,45.37,80.96,-0.046,-0.057
2025-10-22,300148,天舟文化,5,MACD金叉，MACD柱体由绿转红,4.63,60.56,47.37,86.94,-0.128,-0.131
2025-10-22,300162,雷曼光电,5,MACD金叉，MACD柱体由绿转红,7.42,60.47,48.11,85.19,-0.078,-0.084
2025-10-22,300176,鸿特科技,5,MACD金叉，MACD柱体由绿转红,7.38,81.09,70.83,101.62,-0.049,-0.056
2025-10-22,300266,兴源环境,5,MACD金叉，MACD柱体由绿转红,2.65,76.6,66.5,96.79,-0.049,-0.053
2025-10-22,300281,金明精机,5,MACD金叉，MACD柱体由绿转红,7.58,71.82,55.45,104.57,-0.121,-0.132
2025-10-22,002161,远 望 谷,5,MACD金叉，MACD柱体由绿转红,7.92,80.0,70.89,98.23,-0.101,-0.127
2025-10-22,002172,澳洋健康,5,MACD金叉，MACD柱体由绿转红,4.27,77.18,65.76,100.03,-0.024,-0.033
2025-10-22,002178,延华智能,5,MACD金叉，MACD柱体由绿转红,6.54,56.98,51.08,68.8,-0.168,-0.172
2025-10-22,002877,智能自控,5,MACD金叉，MACD柱体由绿转红,8.73,82.15,72.76,100.93,-0.084,-0.089
2025-10-22,600280,中央商场,5,MACD金叉，MACD柱体由绿转红,3.39,61.87,56.07,73.47,-0.051,-0.055
2025-10-22,002522,浙江众成,5,MACD金叉，MACD柱体由绿转红,4.83,66.92,55.09,90.57,-0.1,-0.109
2025-10-22,300460,惠伦晶体,5,MACD金叉，MACD柱体由绿转红,9.42,58.42,46.31,82.64,-0.318,-0.326
2025-10-22,002712,思美传媒,5,MACD金叉，MACD柱体由绿转红,5.5,74.6,62.05,99.69,-0.113,-0.125
2025-10-22,002588,史丹利,5,MACD金叉，MACD柱体由绿转红,9.56,51.45,38.87,76.62,-0.091,-0.106
2025-10-22,002609,捷顺科技,5,MACD金叉，MACD柱体由绿转红,9.62,33.46,26.76,46.84,-0.247,-0.259
2025-10-22,001313,粤海饲料,5,MACD金叉，MACD柱体由绿转红,7.18,56.62,44.07,81.71,-0.116,-0.125
2025-10-23,300299,富春股份,5,MACD金叉，MACD柱体由绿转红,6.32,55.68,43.9,79.26,-0.19,-0.197
2025-10-23,300310,宜通世纪,5,MACD金叉，MACD柱体由绿转红,5.75,55.11,43.64,78.04,-0.226,-0.226
2025-10-23,300352,北信源,5,MACD金叉，MACD柱体由绿转红,5.92,61.85,48.38,88.79,-0.125,-0.128
2025-10-23,002355,兴民智通,5,MACD金叉，MACD柱体由绿转红,5.81,59.21,45.53,86.59,-0.13,-0.133
2025-10-23,002357,富临运业,5,MACD金叉，MACD柱体由绿转红,9.97,31.56,24.06,46.55,-0.202,-0.204
2025-10-23,000839,国安股份,5,MACD金叉，MACD柱体由绿转红,2.69,67.7,55.93,91.24,-0.046,-0.049
2025-10-23,300232,洲明科技,5,MACD金叉，MACD柱体由绿转红,7.96,74.17,59.2,104.1,-0.081,-0.098
2025-10-23,002092,中泰化学,5,MACD金叉，MACD柱体由绿转红,4.75,63.68,49.26,92.51,-0.033,-0.041
2025-10-23,002103,广博股份,5,MACD金叉，MACD柱体由绿转红,9.47,55.33,40.18,85.62,-0.226,-0.238
2025-10-23,002111,威海广泰,5,MACD金叉，MACD柱体由绿转红,9.85,43.5,35.03,60.45,-0.143,-0.148
2025-10-23,002124,天邦食品,5,MACD金叉，MACD柱体由绿转红,2.92,59.02,43.18,90.69,-0.047,-0.049
2025-10-23,600189,泉阳泉,5,MACD金叉，MACD柱体由绿转红,7.15,52.85,43.59,71.36,-0.064,-0.069
2025-10-23,002458,益生股份,5,MACD金叉，MACD柱体由绿转红,8.62,72.86,53.2,112.16,-0.083,-0.088
2025-10-23,000703,恒逸石化,5,MACD金叉，MACD柱体由绿转红,6.99,65.11,45.5,104.32,0.055,0.048
2025-10-23,000428,华天酒店,5,MACD金叉，MACD柱体由绿转红,3.33,84.32,74.0,104.97,-0.109,-0.117
2025-10-23,000541,佛山照明,5,MACD金叉，MACD柱体由绿转红,6.36,73.13,64.12,91.13,-0.085,-0.092
2025-10-23,002221,东华能源,5,MACD金叉，MACD柱体由绿转红,8.37,59.36,44.22,89.63,-0.153,-0.159
2025-10-23,002224,三 力 士,5,MACD金叉，MACD柱体由绿转红,4.46,61.75,45.85,93.53,-0.052,-0.052
2025-10-23,002285,世联行,5,MACD金叉，MACD柱体由绿转红,2.47,61.86,52.72,80.14,-0.026,-0.034
2025-10-23,002526,山东矿机,5,MACD金叉，MACD柱体由绿转红,3.83,69.82,57.03,95.42,-0.079,-0.08
2025-10-23,002535,林州重机,5,MACD金叉，MACD柱体由绿转红,4.1,79.83,65.38,108.72,-0.028,-0.038
2025-10-23,002567,唐人神,5,MACD金叉，MACD柱体由绿转红,4.84,71.16,59.46,94.57,-0.018,-0.02
2025-10-23,000156,华数传媒,5,MACD金叉，MACD柱体由绿转红,7.97,62.13,49.9,86.58,-0.072,-0.084
2025-10-22,300043,星辉娱乐,3,KDJ低位反转金叉,6.36,23.02,19.01,31.04,0.117,0.231
2025-10-22,002175,东方智造,3,KDJ低位反转金叉,4.52,21.57,18.18,28.36,-0.151,-0.121
2025-10-22,002516,旷达科技,3,KDJ低位反转金叉,6.0,28.3,23.63,37.64,-0.025,0.035
2025-10-22,002031,巨轮智能,3,KDJ低位反转金叉,7.87,18.42,15.27,24.73,-0.226,-0.165
2025-10-23,002321,华英农业,3,KDJ低位反转金叉,2.79,27.34,23.79,34.45,0.014,0.035
2025-10-22,002375,亚厦股份,2,短期均线多头确认,4.12,89.3,87.71,92.47,0.012,-0.014
2025-10-22,300132,青松股份,2,短期均线多头确认,6.53,80.53,73.95,93.69,0.006,-0.024
2025-10-22,300157,新锦动力,2,短期均线多头确认,5.08,69.95,56.13,97.59,-0.024,-0.062
2025-10-22,300164,通源石油,2,短期均线多头确认,6.83,89.07,84.27,98.68,0.21,0.112
2025-10-22,000928,中钢国际,2,短期均线多头确认,6.87,72.44,76.08,65.15,0.047,-0.007
2025-10-22,300289,利德曼,2,短期均线多头确认,8.19,69.51,64.47,79.6,-0.087,-0.158
2025-10-22,300708,聚灿光电,2,短期均线多头确认,9.83,79.25,73.36,91.04,0.123,0.042
2025-10-22,600202,哈空调,2,短期均线多头确认,6.21,91.08,84.88,103.49,0.032,-0.009
2025-10-22,002481,双塔食品,2,短期均线多头确认,6.39,82.35,75.26,96.52,0.083,0.035
2025-10-22,000759,中百集团,2,短期均线多头确认,7.85,76.59,66.22,97.33,-0.056,-0.122
2025-10-22,300423,昇辉科技,2,短期均线多头确认,8.04,62.26,60.08,66.62,0.189,0.146
2025-10-22,300425,中建环能,2,短期均线多头确认,5.37,84.37,80.0,93.11,-0.005,-0.038
2025-10-22,002038,双鹭药业,2,短期均线多头确认,7.71,87.17,83.67,94.16,-0.035,-0.103
2025-10-22,002051,中工国际,2,短期均线多头确认,8.84,68.74,73.67,58.9,0.013,-0.043
2025-10-22,002702,海欣食品,2,短期均线多头确认,4.66,86.16,85.18,88.12,0.018,-0.019
2025-10-22,002746,仙坛股份,2,短期均线多头确认,6.23,64.92,60.81,73.15,-0.014,-0.02
2025-10-23,300334,津膜科技,2,短期均线多头确认,7.51,87.87,85.15,93.3,0.023,-0.036
2025-10-23,000019,深粮控股,2,短期均线多头确认,7.63,95.13,91.14,103.13,0.082,0.001
2025-10-23,000027,深圳能源,2,短期均线多头确认,7.51,81.59,71.29,102.2,0.114,0.062
2025-10-23,002314,南山控股,2,短期均线多头确认,3.06,75.03,72.81,79.47,-0.001,-0.022
2025-10-23,002327,富安娜,2,短期均线多头确认,7.26,87.96,81.7,100.48,-0.016,-0.038
2025-10-23,002333,罗普斯金,2,短期均线多头确认,5.64,95.47,92.12,102.17,0.039,0.016
2025-10-23,002337,赛象科技,2,短期均线多头确认,7.02,85.6,69.35,118.09,0.091,-0.001
2025-10-23,002363,隆基机械,2,短期均线多头确认,8.31,80.14,76.99,86.43,-0.013,-0.083
2025-10-23,301175,中科环保,2,短期均线多头确认,5.47,69.13,59.67,88.06,-0.008,-0.021
2025-10-23,000798,中水渔业,2,短期均线多头确认,8.33,94.71,90.67,102.81,0.032,-0.022
2025-10-23,000852,石化机械,2,短期均线多头确认,9.34,97.34,92.59,106.84,0.372,0.072
2025-10-23,300187,永清环保,2,短期均线多头确认,5.3,86.24,84.79,89.15,-0.008,-0.044
2025-10-23,300242,佳云科技,2,短期均线多头确认,4.49,82.28,71.35,104.15,-0.034,-0.079
2025-10-23,600016,民生银行,2,短期均线多头确认,4.16,88.74,83.12,100.0,-0.062,-0.095
2025-10-23,600032,浙江新能,2,短期均线多头确认,7.57,62.05,53.96,78.23,-0.013,-0.023
2025-10-23,002775,文科股份,2,短期均线多头确认,5.05,67.81,65.58,72.28,0.118,0.056
2025-10-23,002807,江阴银行,2,短期均线多头确认,5.23,90.34,92.7,85.61,0.094,0.009
2025-10-23,600163,中闽能源,2,短期均线多头确认,5.3,88.28,80.53,103.79,-0.008,-0.025
2025-10-23,600172,黄河旋风,2,短期均线多头确认,7.73,84.9,86.1,82.51,0.628,0.397
2025-10-23,000635,英 力 特,2,短期均线多头确认,8.8,91.37,84.52,105.05,-0.005,-0.072
2025-10-23,000639,西王食品,2,短期均线多头确认,3.22,79.74,73.8,91.61,-0.029,-0.044
2025-10-23,002909,集泰股份,2,短期均线多头确认,6.62,88.88,79.76,107.12,-0.038,-0.063
