股票代码,股票名称,买入信号,评分,图表路径
600328,中盐化工,"MA金叉形成; RSI值为47.47，处于低位回升阶段; MACD金叉形成; KDJ低位金叉; 放量上涨: 量比2.32, 涨幅2.84%",85,results/600328_中盐化工_analysis.png
002374,中锐股份,"MA金叉形成; MACD金叉形成; KDJ金叉; 放量上涨: 量比16.36, 涨幅22.79%; 突破20日前高",80,results/002374_中锐股份_analysis.png
301215,中汽股份,"MA金叉形成; RSI值为49.24，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比2.82, 涨幅2.45%",70,results/301215_中汽股份_analysis.png
600207,安彩高科,"MA金叉形成; RSI值为48.87，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比2.29, 涨幅3.01%",70,results/600207_安彩高科_analysis.png
600100,同方股份,"MA金叉形成; MACD金叉形成; 放量上涨: 量比3.91, 涨幅9.95%; 突破20日前高",70,results/600100_同方股份_analysis.png
000503,国新健康,"RSI值为47.33，处于低位回升阶段; MACD金叉形成; KDJ低位金叉; 放量上涨: 量比1.73, 涨幅2.79%",65,results/000503_国新健康_analysis.png
600782,新钢股份,"RSI值为48.96，处于低位回升阶段; MACD金叉形成; KDJ低位金叉; 放量上涨: 量比2.80, 涨幅5.74%",65,results/600782_新钢股份_analysis.png
688009,中国通号,"MA金叉形成; MACD金叉形成; KDJ金叉; 放量上涨: 量比1.71, 涨幅2.04%",65,results/688009_中国通号_analysis.png
688602,康鹏科技,"RSI值为45.69，处于低位回升阶段; MACD金叉形成; KDJ低位金叉; 放量上涨: 量比2.13, 涨幅2.78%",65,results/688602_康鹏科技_analysis.png
600905,三峡能源,"MACD金叉形成; KDJ低位金叉; 放量上涨: 量比2.84, 涨幅2.10%; 突破20日前高",65,results/600905_三峡能源_analysis.png
000955,欣龙控股,"MACD金叉形成; KDJ金叉; 放量上涨: 量比1.77, 涨幅9.93%; 突破20日前高",60,results/000955_欣龙控股_analysis.png
002109,兴化股份,"MA金叉形成; MACD金叉形成; 放量上涨: 量比2.70, 涨幅3.15%",55,results/002109_兴化股份_analysis.png
601588,北辰实业,"MA金叉形成; MACD金叉形成; 放量上涨: 量比1.61, 涨幅3.98%",55,results/601588_北辰实业_analysis.png
002091,江苏国泰,"MA金叉形成; MACD金叉形成; 放量上涨: 量比6.83, 涨幅6.26%",55,results/002091_江苏国泰_analysis.png
002609,捷顺科技,RSI值为45.69，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/002609_捷顺科技_analysis.png
300289,利德曼,"MA金叉形成; 放量上涨: 量比3.41, 涨幅7.06%; 突破20日前高",50,results/300289_利德曼_analysis.png
002337,赛象科技,"MA金叉形成; 放量上涨: 量比5.56, 涨幅10.03%; 突破20日前高",50,results/002337_赛象科技_analysis.png
002588,史丹利,"MACD金叉形成; KDJ低位金叉; 放量上涨: 量比3.04, 涨幅5.05%",50,results/002588_史丹利_analysis.png
600189,泉阳泉,RSI值为49.28，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/600189_泉阳泉_analysis.png
002480,新筑股份,"MACD金叉形成; KDJ低位金叉; 放量上涨: 量比1.58, 涨幅1.61%",50,results/002480_新筑股份_analysis.png
002111,威海广泰,RSI值为45.83，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/002111_威海广泰_analysis.png
002103,广博股份,"RSI值为42.36，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比3.20, 涨幅2.05%",50,results/002103_广博股份_analysis.png
002455,百川股份,"RSI值为42.54，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比1.73, 涨幅1.85%",50,results/002455_百川股份_analysis.png
002161,远 望 谷,"RSI值为48.10，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比1.76, 涨幅3.80%",50,results/002161_远 望 谷_analysis.png
000599,青岛双星,"MACD金叉形成; 放量上涨: 量比1.99, 涨幅3.21%; 突破20日前高",50,results/000599_青岛双星_analysis.png
000980,众泰汽车,"MA金叉形成; KDJ低位金叉; 放量上涨: 量比1.58, 涨幅5.77%",50,results/000980_众泰汽车_analysis.png
300352,北信源,"RSI值为46.41，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比2.29, 涨幅3.86%",50,results/300352_北信源_analysis.png
002127,南极电商,"MACD金叉形成; KDJ低位金叉; 放量上涨: 量比2.55, 涨幅3.82%",50,results/002127_南极电商_analysis.png
600399,抚顺特钢,"MA金叉形成; RSI值为47.06，处于低位回升阶段; 放量上涨: 量比2.20, 涨幅1.33%",50,results/600399_抚顺特钢_analysis.png
601990,南京证券,"RSI值为45.33，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比1.68, 涨幅0.95%",50,results/601990_南京证券_analysis.png
000800,一汽解放,"MA金叉形成; 放量上涨: 量比6.42, 涨幅1.84%; 突破20日前高",50,results/000800_一汽解放_analysis.png
688176,亚虹医药,RSI值为31.82，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/688176_亚虹医药_analysis.png
000676,智度股份,RSI值为42.01，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/000676_智度股份_analysis.png
600808,马钢股份,"RSI值为42.25，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比1.52, 涨幅1.52%",45,results/600808_马钢股份_analysis.png
600863,内蒙华电,"MACD金叉形成; KDJ金叉; 放量上涨: 量比1.60, 涨幅0.47%",45,results/600863_内蒙华电_analysis.png
002707,众信旅游,"RSI值为50.00，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比2.06, 涨幅2.49%",45,results/002707_众信旅游_analysis.png
000981,山子高科,"RSI值为43.02，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比1.62, 涨幅9.97%",45,results/000981_山子高科_analysis.png
002489,浙江永强,"RSI值为37.14，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比1.94, 涨幅2.52%",45,results/002489_浙江永强_analysis.png
300284,苏交科,"RSI值为46.26，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比4.17, 涨幅2.32%",45,results/300284_苏交科_analysis.png
600956,新天绿能,"RSI值为48.57，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比1.66, 涨幅2.05%",45,results/600956_新天绿能_analysis.png
002092,中泰化学,"MACD金叉形成; KDJ金叉; 放量上涨: 量比2.45, 涨幅2.37%",45,results/002092_中泰化学_analysis.png
000036,华联控股,"RSI值为42.03，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比3.01, 涨幅3.56%",45,results/000036_华联控股_analysis.png
301175,中科环保,"MA金叉形成; KDJ金叉; 放量上涨: 量比1.73, 涨幅1.67%",45,results/301175_中科环保_analysis.png
600076,康欣新材,MA金叉形成; MACD金叉形成,40,results/600076_康欣新材_analysis.png
002775,文科股份,"KDJ金叉; 放量上涨: 量比2.47, 涨幅5.43%; 突破20日前高",40,results/002775_文科股份_analysis.png
002548,金新农,MA金叉形成; MACD金叉形成,40,results/002548_金新农_analysis.png
000983,山西焦煤,"KDJ金叉; 放量上涨: 量比1.81, 涨幅4.40%; 突破20日前高",40,results/000983_山西焦煤_analysis.png
002687,乔治白,"KDJ金叉; 放量上涨: 量比1.82, 涨幅1.48%; 突破20日前高",40,results/002687_乔治白_analysis.png
002481,双塔食品,"KDJ金叉; 放量上涨: 量比2.68, 涨幅10.94%; 突破20日前高",40,results/002481_双塔食品_analysis.png
002243,力合科创,"KDJ金叉; 放量上涨: 量比6.43, 涨幅9.97%; 突破20日前高",40,results/002243_力合科创_analysis.png
600356,恒丰纸业,MA金叉形成; MACD金叉形成,40,results/600356_恒丰纸业_analysis.png
600569,安阳钢铁,"KDJ金叉; 放量上涨: 量比1.75, 涨幅10.08%; 突破20日前高",40,results/600569_安阳钢铁_analysis.png
000027,深圳能源,"KDJ金叉; 放量上涨: 量比7.07, 涨幅9.32%; 突破20日前高",40,results/000027_深圳能源_analysis.png
002522,浙江众成,"KDJ金叉; 放量上涨: 量比3.19, 涨幅10.09%; 突破20日前高",40,results/002522_浙江众成_analysis.png
600011,华能国际,"KDJ金叉; 放量上涨: 量比2.77, 涨幅6.86%; 突破20日前高",40,results/600011_华能国际_analysis.png
002672,东江环保,"KDJ金叉; 放量上涨: 量比7.84, 涨幅9.52%; 突破20日前高",40,results/002672_东江环保_analysis.png
600507,方大特钢,"KDJ金叉; 放量上涨: 量比4.57, 涨幅6.50%; 突破20日前高",40,results/600507_方大特钢_analysis.png
300299,富春股份,RSI值为32.71，处于低位回升阶段; MACD金叉形成,35,results/300299_富春股份_analysis.png
000796,凯撒旅业,MACD金叉形成; KDJ低位金叉,35,results/000796_凯撒旅业_analysis.png
601388,怡球资源,MA金叉形成; KDJ低位金叉,35,results/601388_怡球资源_analysis.png
920970,大禹生物,RSI值为41.71，处于低位回升阶段; MACD金叉形成,35,results/920970_大禹生物_analysis.png
920682,球冠电缆,RSI值为40.24，处于低位回升阶段; MACD金叉形成,35,results/920682_球冠电缆_analysis.png
300310,宜通世纪,RSI值为35.96，处于低位回升阶段; MACD金叉形成,35,results/300310_宜通世纪_analysis.png
600370,三房巷,"MACD金叉形成; 放量上涨: 量比3.19, 涨幅10.00%",35,results/600370_三房巷_analysis.png
002314,南山控股,"MA金叉形成; 放量上涨: 量比3.40, 涨幅1.66%",35,results/002314_南山控股_analysis.png
002567,唐人神,"MACD金叉形成; 放量上涨: 量比1.51, 涨幅0.41%",35,results/002567_唐人神_analysis.png
600841,动力新科,RSI值为36.49，处于低位回升阶段; MACD金叉形成,35,results/600841_动力新科_analysis.png
002340,格林美,MA金叉形成; RSI值为39.13，处于低位回升阶段,35,results/002340_格林美_analysis.png
002283,天润工业,RSI值为44.74，处于低位回升阶段; MACD金叉形成,35,results/002283_天润工业_analysis.png
002264,新 华 都,RSI值为45.64，处于低位回升阶段; MACD金叉形成,35,results/002264_新 华 都_analysis.png
300148,天舟文化,RSI值为41.76，处于低位回升阶段; MACD金叉形成,35,results/300148_天舟文化_analysis.png
002526,山东矿机,RSI值为46.88，处于低位回升阶段; MACD金叉形成,35,results/002526_山东矿机_analysis.png
300162,雷曼光电,RSI值为49.26，处于低位回升阶段; MACD金叉形成,35,results/300162_雷曼光电_analysis.png
300157,新锦动力,"MA金叉形成; 放量上涨: 量比4.37, 涨幅3.04%",35,results/300157_新锦动力_analysis.png
002535,林州重机,"MACD金叉形成; 放量上涨: 量比1.69, 涨幅0.24%",35,results/002535_林州重机_analysis.png
002068,黑猫股份,RSI值为36.11，处于低位回升阶段; MACD金叉形成,35,results/002068_黑猫股份_analysis.png
