股票代码,股票名称,买入信号,评分,图表路径
002986,宇新股份,RSI值为48.41，处于低位回升阶段; KDJ低位金叉,30,results/002986_宇新股份_analysis.png
002990,盛视科技,MA金叉形成; RSI值为47.53，处于低位回升阶段,35,results/002990_盛视科技_analysis.png
003001,中岩大地,"放量上涨: 量比2.64, 涨幅6.49%; 突破20日前高",30,results/003001_中岩大地_analysis.png
003011,海象新材,"放量上涨: 量比2.36, 涨幅4.91%; 突破20日前高",30,results/003011_海象新材_analysis.png
003027,同兴科技,MACD金叉形成; KDJ金叉,30,results/003027_同兴科技_analysis.png
003028,振邦智能,"RSI值为43.20，处于低位回升阶段; 放量上涨: 量比2.97, 涨幅3.43%",30,results/003028_振邦智能_analysis.png
003038,鑫铂股份,"MACD金叉形成; KDJ低位金叉; 放量上涨: 量比7.78, 涨幅9.26%",50,results/003038_鑫铂股份_analysis.png
300005,探路者,"RSI值为37.20，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比2.00, 涨幅2.87%",45,results/300005_探路者_analysis.png
300011,鼎汉技术,RSI值为45.64，处于低位回升阶段; KDJ低位金叉,30,results/300011_鼎汉技术_analysis.png
300043,星辉娱乐,RSI值为42.86，处于低位回升阶段; KDJ低位金叉,30,results/300043_星辉娱乐_analysis.png
300046,台基股份,RSI值为38.50，处于低位回升阶段; KDJ低位金叉,30,results/300046_台基股份_analysis.png
300061,旗天科技,RSI值为33.89，处于低位回升阶段; MACD金叉形成,35,results/300061_旗天科技_analysis.png
300063,天龙集团,RSI值为30.32，处于低位回升阶段; KDJ低位金叉,30,results/300063_天龙集团_analysis.png
300067,安诺其,RSI值为33.33，处于低位回升阶段; MACD金叉形成,35,results/300067_安诺其_analysis.png
300079,数码视讯,RSI值为43.12，处于低位回升阶段; KDJ低位金叉,30,results/300079_数码视讯_analysis.png
300080,易成新能,"KDJ低位金叉; 放量上涨: 量比2.06, 涨幅6.33%",30,results/300080_易成新能_analysis.png
300084,海默科技,"MACD金叉形成; 放量上涨: 量比3.79, 涨幅4.00%; 突破20日前高",50,results/300084_海默科技_analysis.png
