股票代码,股票名称,买入信号,评分,图表路径
300107,建新股份,RSI值为33.33，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/300107_建新股份_analysis.png
300122,智飞生物,RSI值为30.34，处于低位回升阶段; KDJ低位金叉,30,results/300122_智飞生物_analysis.png
300130,新国都,RSI值为39.09，处于低位回升阶段; MACD金叉形成,35,results/300130_新国都_analysis.png
300132,青松股份,"放量上涨: 量比2.29, 涨幅1.40%; 突破20日前高",30,results/300132_青松股份_analysis.png
300148,天舟文化,RSI值为41.76，处于低位回升阶段; MACD金叉形成,35,results/300148_天舟文化_analysis.png
300154,瑞凌股份,"RSI值为49.56，处于低位回升阶段; 放量上涨: 量比1.61, 涨幅2.17%",30,results/300154_瑞凌股份_analysis.png
300157,新锦动力,"MA金叉形成; 放量上涨: 量比4.37, 涨幅3.04%",35,results/300157_新锦动力_analysis.png
300161,华中数控,"RSI值为48.31，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比2.26, 涨幅2.74%",45,results/300161_华中数控_analysis.png
300162,雷曼光电,RSI值为49.26，处于低位回升阶段; MACD金叉形成,35,results/300162_雷曼光电_analysis.png
300164,通源石油,"放量上涨: 量比2.00, 涨幅7.39%; 突破20日前高",30,results/300164_通源石油_analysis.png
300173,福能东方,RSI值为33.11，处于低位回升阶段; KDJ低位金叉,30,results/300173_福能东方_analysis.png
300176,鸿特科技,RSI值为48.19，处于低位回升阶段; MACD金叉形成,35,results/300176_鸿特科技_analysis.png
300182,捷成股份,"MACD金叉形成; KDJ低位金叉; 放量上涨: 量比2.20, 涨幅4.05%",50,results/300182_捷成股份_analysis.png
300184,力源信息,RSI值为33.05，处于低位回升阶段; KDJ低位金叉,30,results/300184_力源信息_analysis.png
300185,通裕重工,"KDJ低位金叉; 放量上涨: 量比1.97, 涨幅4.29%",30,results/300185_通裕重工_analysis.png
300188,国投智能,RSI值为38.41，处于低位回升阶段; KDJ低位金叉,30,results/300188_国投智能_analysis.png
300190,维尔利,"MA金叉形成; RSI值为45.14，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比1.85, 涨幅2.96%",70,results/300190_维尔利_analysis.png
300191,潜能恒信,"MA金叉形成; 放量上涨: 量比4.34, 涨幅5.13%; 突破20日前高",50,results/300191_潜能恒信_analysis.png
300193,佳士科技,RSI值为43.88，处于低位回升阶段; MACD金叉形成,35,results/300193_佳士科技_analysis.png
300195,长荣股份,RSI值为48.29，处于低位回升阶段; KDJ低位金叉,30,results/300195_长荣股份_analysis.png
300235,方直科技,"放量上涨: 量比3.22, 涨幅5.03%; 突破20日前高",30,results/300235_方直科技_analysis.png
300236,上海新阳,RSI值为38.04，处于低位回升阶段; KDJ低位金叉,30,results/300236_上海新阳_analysis.png
300241,瑞丰光电,"RSI值为46.34，处于低位回升阶段; MACD金叉形成; KDJ金叉; 放量上涨: 量比1.85, 涨幅1.77%",60,results/300241_瑞丰光电_analysis.png
300243,瑞丰高材,MACD金叉形成; KDJ低位金叉,35,results/300243_瑞丰高材_analysis.png
300257,开山股份,"MACD金叉形成; 放量上涨: 量比1.92, 涨幅3.66%",35,results/300257_开山股份_analysis.png
300266,兴源环境,RSI值为48.72，处于低位回升阶段; MACD金叉形成,35,results/300266_兴源环境_analysis.png
300275,梅安森,RSI值为41.84，处于低位回升阶段; MACD金叉形成,35,results/300275_梅安森_analysis.png
300277,海联讯,"RSI值为34.45，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比2.25, 涨幅4.60%",45,results/300277_海联讯_analysis.png
300281,金明精机,"MACD金叉形成; 放量上涨: 量比1.60, 涨幅2.29%",35,results/300281_金明精机_analysis.png
