股票代码,股票名称,评分,信号数量,信号详情,最新收盘价
2666,德联集团,8,8,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 布林带低位反弹, OBV资金流入, ATR低波动确认",5.37
2663,普邦股份,8,8,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",2.25
300042,朗科科技,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",30.54
61,农 产 品,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 成交量确认, OBV资金流入",9.04
300112,万讯自控,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 布林带低位反弹, OBV资金流入",8.8
300272,开能健康,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 布林带低位反弹, OBV资金流入",6.52
300132,青松股份,7,7,"MACD金叉, MACD柱转正, 价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 成交量确认, OBV资金流入",6.44
300375,鹏翎股份,7,7,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",5.06
2971,和远气体,6,6,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, OBV资金流入",38.09
1336,楚环科技,6,6,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",23.98
2961,瑞达期货,6,6,"KDJ超卖金叉, 价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 成交量确认, OBV资金流入",22.48
300191,潜能恒信,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",21.26
300374,中铁装配,6,6,"KDJ超卖金叉, 价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 成交量确认, OBV资金流入",17.14
3039,顺控发展,6,6,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 布林带低位反弹, OBV资金流入, ATR低波动确认",13.61
300417,南华仪器,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 布林带低位反弹, OBV资金流入",13.14
300407,凯发电气,6,6,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, OBV资金流入",10.91
2582,好想你,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",9.56
2761,浙江建投,6,6,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, OBV资金流入",9.41
2381,双箭股份,6,6,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 布林带低位反弹, OBV资金流入, ATR低波动确认",6.84
2909,集泰股份,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 布林带低位反弹, OBV资金流入",6.51
300234,开尔新材,6,6,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, OBV资金流入",5.48
300157,新锦动力,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 成交量确认, OBV资金流入",4.93
2613,北玻股份,6,6,"MACD金叉, MACD柱转正, 价格高于MA5, RSI强劲上涨, 布林带低位反弹, OBV资金流入",4.15
797,中国武夷,6,6,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 成交量确认, OBV资金流入, ATR低波动确认",2.97
524,岭南控股,5,5,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, OBV资金流入, ATR低波动确认",14.25
759,中百集团,5,5,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 成交量确认, OBV资金流入",7.85
707,双环科技,5,5,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 成交量确认, OBV资金流入",6.67
300160,秀强股份,5,5,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, OBV资金流入, ATR低波动确认",5.92
2542,中化岩土,5,5,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 成交量确认, OBV资金流入",4.46
509,华塑控股,5,5,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, 成交量确认, OBV资金流入",3.8
897,津滨发展,5,5,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, OBV资金流入, ATR低波动确认",2.41
517,荣安地产,5,5,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, OBV资金流入, ATR低波动确认",2.19
1368,通达创智,4,4,"价格高于MA5, RSI强劲上涨, 布林带低位反弹, OBV资金流入",24.66
2791,坚朗五金,4,4,"MACD金叉, MACD柱转正, MA5-MA20金叉, ATR低波动确认",22.0
2995,天地在线,4,4,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5",17.34
2675,东诚药业,4,4,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5",14.76
2572,索菲亚,4,4,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5",12.68
300142,沃森生物,4,4,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5",11.49
2278,神开股份,4,4,"价格高于MA5, MA5-MA20金叉, RSI强劲上涨, OBV资金流入",11.21
2783,凯龙股份,4,4,"KDJ超卖金叉, 价格高于MA5, RSI强劲上涨, OBV资金流入",10.22
779,甘咨询,4,4,"价格高于MA5, RSI强劲上涨, 布林带低位反弹, OBV资金流入",9.31
300154,瑞凌股份,4,4,"MACD金叉, MACD柱转正, 价格高于MA5, 成交量确认",8.77
300169,天晟新材,4,4,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5",7.05
300123,亚光科技,4,4,"MACD金叉, MACD柱转正, KDJ超卖金叉, 价格高于MA5",5.82
966,长源电力,4,4,"价格高于MA5, RSI强劲上涨, 布林带低位反弹, OBV资金流入",4.49
1206,依依股份,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",34.85
2657,中科金财,3,3,"MACD金叉, MACD柱转正, 价格高于MA5",32.25
2380,科远智慧,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",30.22
1228,永泰运,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",26.87
2767,先锋电子,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",25.03
807,云铝股份,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",22.08
1218,丽臣实业,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",22.01
519,中兵红箭,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",19.46
300220,金运激光,3,3,"MACD金叉, MACD柱转正, 价格高于MA5",15.33
300245,天玑科技,3,3,"MACD金叉, MACD柱转正, 价格高于MA5",14.34
300504,天邑股份,3,3,"MACD金叉, MACD柱转正, 价格高于MA5",14.18
586,汇源通信,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",14.06
300452,山河药辅,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",13.76
151,中成股份,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",12.84
722,湖南发展,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",12.68
65,北方国际,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",12.46
2532,天山铝业,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",12.41
2818,富森美,3,3,"价格高于MA5, MA5-MA20金叉, ATR低波动确认",11.84
3018,金富科技,3,3,"MACD金叉, MACD柱转正, 价格高于MA5",11.78
300434,金石亚药,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",11.73
2828,贝肯能源,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",11.23
300497,富祥药业,3,3,"MACD金叉, MACD柱转正, 价格高于MA5",10.54
2728,特一药业,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",10.27
2774,快意电梯,3,3,"MACD金叉, MACD柱转正, 价格高于MA5",9.99
300404,博济医药,3,3,"MACD金叉, MACD柱转正, 价格高于MA5",9.98
2668,TCL智家,3,3,"MACD金叉, MACD柱转正, 价格高于MA5",9.72
2441,众业达,3,3,"价格高于MA5, RSI强劲上涨, OBV资金流入",9.45
