日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-04-18,301357,42.69,42.35,50.26,42.27,115391,722215766.0,22.66,20.11,7.09,71.57
2023-04-19,301357,43.39,42.41,44.11,40.89,70277,422970817.0,7.6,0.14,0.06,43.59
2023-04-20,301357,42.24,38.12,42.24,38.04,71268,398289240.0,9.9,-10.12,-4.29,44.2
2023-04-21,301357,38.12,38.41,40.6,37.89,57348,319744590.0,7.11,0.76,0.29,35.57
2023-04-24,301357,37.4,36.67,38.61,36.34,40054,212045240.0,5.91,-4.53,-1.74,24.84
2023-04-25,301357,36.62,34.98,37.58,34.69,36902,187739319.0,7.88,-4.61,-1.69,22.89
2023-04-26,301357,34.54,34.94,35.65,34.19,22521,112494148.0,4.17,-0.11,-0.04,13.97
2023-04-27,301357,33.82,34.19,35.91,33.82,25856,127671059.0,5.98,-2.15,-0.75,16.04
2023-04-28,301357,34.58,34.89,35.11,34.49,17021,84082024.0,1.81,2.05,0.7,10.56
2023-05-04,301357,34.97,34.81,35.79,34.63,18950,94530896.0,3.32,-0.23,-0.08,11.75
2023-05-05,301357,34.54,32.03,34.68,31.77,30211,139524024.0,8.36,-7.99,-2.78,18.74
2023-05-08,301357,31.76,33.69,34.22,31.76,29029,136796339.0,7.68,5.18,1.66,18.0
2023-05-09,301357,33.38,32.31,33.71,32.26,15486,72048475.0,4.3,-4.1,-1.38,9.6
2023-05-10,301357,32.85,34.66,35.4,32.52,37040,178913966.0,8.91,7.27,2.35,22.97
2023-05-11,301357,34.22,33.14,34.37,33.03,26814,127226951.0,3.87,-4.39,-1.52,16.63
2023-05-12,301357,33.22,32.52,33.3,32.42,16655,77165519.0,2.66,-1.87,-0.62,10.33
2023-05-15,301357,32.4,33.37,33.52,32.29,16717,78381659.0,3.78,2.61,0.85,10.37
2023-05-16,301357,33.32,34.04,34.61,32.8,25488,122547690.0,5.42,2.01,0.67,15.81
2023-05-17,301357,33.74,35.48,36.22,33.47,41696,207917580.0,8.08,4.23,1.44,25.86
2023-05-18,301357,34.69,34.98,35.58,34.62,28200,139808388.0,2.71,-1.41,-0.5,17.49
2023-05-19,301357,34.89,35.62,36.33,34.33,33782,170374409.0,5.72,1.83,0.64,20.95
2023-05-22,301357,35.27,36.34,36.95,35.14,35312,181266992.0,5.08,2.02,0.72,21.9
2023-05-23,301357,36.14,37.4,38.47,35.29,50178,261757241.0,8.75,2.92,1.06,31.12
2023-05-24,301357,36.33,36.12,36.89,35.98,33208,171584111.0,2.43,-3.42,-1.28,20.6
2023-05-25,301357,35.97,37.72,40.47,35.9,58396,317127163.0,12.65,4.43,1.6,36.22
2023-05-26,301357,36.98,35.57,37.47,35.12,42047,213402635.0,6.23,-5.7,-2.15,26.08
2023-05-29,301357,35.44,38.14,38.29,34.96,44709,234431295.0,9.36,7.23,2.57,27.73
2023-05-30,301357,37.4,36.63,38.01,36.44,28452,149250495.0,4.12,-3.96,-1.51,17.65
2023-05-31,301357,36.47,35.9,36.9,35.65,23574,120923102.0,3.41,-1.99,-0.73,14.62
2023-06-01,301357,35.63,36.0,36.37,35.54,18987,96814115.0,2.31,0.28,0.1,11.78
2023-06-02,301357,36.34,36.72,37.31,36.12,28794,149938252.0,3.31,2.0,0.72,17.86
2023-06-05,301357,36.46,35.96,37.03,35.89,20082,102206487.0,3.1,-2.07,-0.76,12.46
2023-06-06,301357,36.11,35.39,36.66,35.31,20696,104374273.0,3.75,-1.59,-0.57,12.84
2023-06-07,301357,35.31,34.49,35.39,33.77,20742,99639370.0,4.58,-2.54,-0.9,12.86
2023-06-08,301357,34.31,33.76,35.2,33.64,17234,82948463.0,4.52,-2.12,-0.73,10.69
2023-06-09,301357,34.11,34.41,34.81,33.93,12991,62588458.0,2.61,1.93,0.65,8.06
2023-06-12,301357,33.99,34.58,34.81,33.83,10673,51403176.0,2.85,0.49,0.17,6.62
2023-06-13,301357,34.79,35.17,35.22,34.26,16159,78994268.0,2.78,1.71,0.59,10.02
2023-06-14,301357,34.96,34.03,35.07,33.96,15212,73411347.0,3.16,-3.24,-1.14,9.44
2023-06-15,301357,33.82,34.05,34.47,33.68,11864,56698111.0,2.32,0.06,0.02,7.36
2023-06-16,301357,34.04,34.36,34.74,33.89,12202,58793112.0,2.5,0.91,0.31,7.57
2023-06-19,301357,34.27,35.03,35.18,34.12,15979,78157410.0,3.08,1.95,0.67,9.91
2023-06-20,301357,35.14,34.68,35.44,34.61,15248,74694687.0,2.37,-1.0,-0.35,9.46
2023-06-21,301357,34.55,33.83,35.04,33.76,12948,62339587.0,3.69,-2.45,-0.85,8.03
2023-06-26,301357,33.93,35.58,35.67,33.93,27757,136138720.0,5.14,5.17,1.75,17.22
2023-06-27,301357,35.59,36.52,38.06,34.97,39898,204124728.0,8.68,2.64,0.94,24.75
2023-06-28,301357,36.03,36.19,36.38,35.28,23673,118523944.0,3.01,-0.9,-0.33,14.68
2023-06-29,301357,35.8,35.96,36.75,35.61,20090,101617006.0,3.15,-0.64,-0.23,12.46
2023-06-30,301357,35.84,37.16,37.38,35.69,27651,142452273.0,4.7,3.34,1.2,17.15
2023-07-03,301357,36.89,36.79,37.57,36.69,21471,111408297.0,2.37,-1.0,-0.37,13.32
2023-07-04,301357,36.69,36.93,37.21,36.46,17857,92164850.0,2.04,0.38,0.14,11.08
2023-07-05,301357,36.74,35.61,37.04,35.57,21066,107009687.0,3.98,-3.57,-1.32,13.07
2023-07-06,301357,35.71,39.18,40.54,35.58,58096,312578235.0,13.93,10.03,3.57,36.03
2023-07-07,301357,38.54,38.43,39.87,38.3,40051,218621445.0,4.01,-1.91,-0.75,24.84
2023-07-10,301357,38.24,37.79,38.89,37.38,24963,132889009.0,3.93,-1.67,-0.64,15.48
2023-07-11,301357,37.93,38.33,39.23,37.74,25668,137682598.0,3.94,1.43,0.54,15.92
2023-07-12,301357,37.84,40.03,40.39,37.42,45401,249559751.0,7.75,4.44,1.7,28.16
2023-07-13,301357,39.46,41.57,42.57,39.26,49493,285070327.0,8.27,3.85,1.54,30.7
2023-07-14,301357,40.74,41.84,43.81,39.96,51708,304710930.0,9.26,0.65,0.27,32.07
2023-07-17,301357,41.44,39.76,41.81,39.05,37678,211100236.0,6.6,-4.97,-2.08,23.37
2023-07-18,301357,39.43,38.1,39.72,37.84,27362,147567659.0,4.73,-4.18,-1.66,16.97
2023-07-19,301357,37.94,38.5,38.5,37.69,20963,112179110.0,2.13,1.05,0.4,13.0
2023-07-20,301357,38.51,39.64,41.24,37.97,35981,200357359.0,8.49,2.96,1.14,22.32
2023-07-21,301357,39.14,36.68,40.57,36.63,34091,182769359.0,9.94,-7.47,-2.96,21.14
2023-07-24,301357,36.11,35.31,36.25,35.06,18976,94579013.0,3.24,-3.74,-1.37,11.77
2023-07-25,301357,35.68,37.07,38.36,35.54,23811,123347475.0,7.99,4.98,1.76,14.77
2023-07-26,301357,36.95,36.51,37.74,36.39,13883,71810181.0,3.64,-1.51,-0.56,8.61
2023-07-27,301357,36.64,43.81,43.81,36.64,60375,349526936.0,19.64,19.99,7.3,37.45
2023-07-28,301357,42.46,43.0,44.25,42.11,68679,417003351.0,4.88,-1.85,-0.81,42.6
2023-07-31,301357,41.76,43.02,44.36,41.39,47571,284421801.0,6.91,0.05,0.02,29.5
2023-08-01,301357,42.6,41.92,43.45,40.54,40819,238806033.0,6.76,-2.56,-1.1,25.32
2023-08-02,301357,41.54,41.18,42.02,40.52,23750,136562211.0,3.58,-1.77,-0.74,14.73
