序号,股票代码,股票简称,涨跌幅,换手率,最新价,前期高点,前期高点日期
1,000029,深深房A,2.05,0.8,15.46,15.42,2025-04-23
2,000042,中洲控股,2.85,2.2,7.22,7.1,2025-04-21
3,000059,华锦股份,3.26,2.52,5.39,5.28,2025-04-24
4,000070,ST特信,0.0,0.96,6.09,6.09,2025-04-25
5,000506,*ST中润,3.62,4.36,7.15,6.91,2025-04-22
6,000519,中兵红箭,0.54,1.44,16.71,16.7,2025-04-24
7,000539,粤电力A,0.22,1.86,4.62,4.61,2025-04-25
8,000565,渝三峡A,10.05,10.69,6.24,5.67,2025-04-25
9,000598,兴蓉环境,0.84,0.64,7.23,7.19,2025-04-24
10,000605,渤海股份,1.49,6.85,7.51,7.4,2025-04-25
11,000651,格力电器,2.94,1.57,46.55,45.55,2025-04-22
12,000672,上峰水泥,7.23,2.98,9.05,8.44,2025-04-25
13,000691,亚太实业,10.04,19.29,3.18,3.0,2025-03-28
14,000720,新能泰山,10.14,2.24,3.15,2.94,2025-03-28
15,000729,燕京啤酒,2.24,1.22,13.23,13.21,2025-04-10
16,000752,ST西发,2.68,1.98,8.44,8.4,2025-04-24
17,000755,山西高速,0.0,1.02,5.08,5.08,2025-04-25
18,000761,本钢板材,1.61,0.38,3.79,3.78,2025-04-02
19,000779,甘咨询,2.54,10.42,9.68,9.68,2025-03-31
20,000791,甘肃能源,0.98,6.41,7.22,7.15,2025-04-25
21,000875,吉电股份,4.15,5.43,5.77,5.54,2025-04-25
22,000881,中广核技,0.95,7.08,7.44,7.37,2025-04-25
23,000893,亚钾国际,1.99,1.72,29.8,29.22,2025-04-25
24,000898,鞍钢股份,0.44,0.52,2.31,2.3,2025-04-25
25,000932,华菱钢铁,2.4,1.01,5.11,4.99,2025-04-25
26,000933,神火股份,1.07,0.86,16.97,16.85,2025-04-18
27,000953,河化股份,1.93,16.42,6.35,6.26,2025-04-24
28,000959,首钢股份,6.9,1.51,3.72,3.48,2025-04-25
29,000966,长源电力,5.88,10.65,5.94,5.61,2025-04-25
30,000993,闽东电力,9.84,20.73,11.95,10.88,2025-04-25
31,001210,金房能源,1.84,7.74,14.96,14.79,2025-04-01
32,001225,和泰机电,0.89,7.45,37.39,37.06,2025-04-25
33,001298,好上好,1.23,23.23,27.15,26.82,2025-04-25
34,001331,胜通能源,4.29,44.52,15.09,15.04,2025-04-22
35,001380,华纬科技,1.87,11.99,31.67,31.38,2025-03-31
36,001896,豫能控股,2.31,5.49,4.43,4.33,2025-04-25
37,002036,联创电子,5.31,10.18,10.71,10.17,2025-04-25
38,002095,生意宝,1.06,17.46,20.07,19.86,2025-04-25
39,002098,浔兴股份,9.97,25.19,11.25,10.23,2025-04-25
40,002197,ST证通,5.04,5.66,4.79,4.6,2025-04-17
41,002200,*ST交投,5.04,0.29,7.08,6.74,2025-04-25
42,002215,诺普信,5.2,7.95,9.71,9.46,2025-04-24
43,002228,合兴包装,1.58,2.6,3.22,3.17,2025-04-02
