代码,名称,收盘价,信号,评分
688365,光云科技,12.5,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",75
605365,立达信,14.92,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",75
300451,创业慧康,5.38,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",75
002662,峰璟股份,3.57,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号']",65
600313,农发种业,6.39,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号']",65
000933,神火股份,16.7,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号']",65
000070,ST特信,6.64,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号']",65
002635,安洁科技,13.27,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",65
300168,万达信息,7.33,"['MA金叉形成，可能是上涨信号', 'RSI处于30-50区间，有上升空间', '成交量显著放大，需要关注', 'MACD金叉，买入信号']",65
301047,义翘神州,60.94,"['MA金叉形成，可能是上涨信号', '成交量显著放大，需要关注', 'MACD金叉，买入信号', '5分钟内有小幅上涨趋势']",60
